"ISSN" "titulo" "estrato" "ISSN2"
"1" "1232-1966" "AAEM. ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE" "B3" "12321966"
"2" "0094-6354" "A.A.N.A. JOURNAL" "B3" "00946354"
"3" "0102-6720" "ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA" "B4" "01026720"
"4" "2357-8114" "ABCS HEALTH SCIENCES" "C" "23578114"
"5" "0922-9280" "ABSTRACT BOOK (GRONINGEN)" "C" "09229280"
"6" "1631-0691" "ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES" "B2" "16310691"
"7" "0001-4265" "ACADEMY OF GENERAL DENTISTRY" "C" "00014265"
"8" "0132-8077" "ACARINA: RUSSIAN JOURNAL OF ACAROLOGY" "B2" "01328077"
"9" "0044-586X" "ACAROLOGIA (LA VARENNE-SUR-SEINE)" "B1" "0044586X"
"10" "1541-115X" "ACCOUNTING DEPARTMENT MANAGEMENT REPORT" "C" "1541115X"
"11" "0949-1775" "ACCREDITATION AND QUALITY ASSURANCE" "B3" "09491775"
"12" "1331-7768" "ACS. AGRICULTURAE CONSPECTUS SCINTIFICUS (TISAK)" "B3" "13317768"
"13" "1944-8252" "ACS APPLIED MATERIALS & INTERFACES (ONLINE)" "A2" "19448252"
"14" "1944-8244" "ACS APPLIED MATERIALS & INTERFACES (PRINT)" "A2" "19448244"
"15" "1554-8929" "ACS CHEMICAL BIOLOGY" "B1" "15548929"
"16" "1948-7193" "ACS CHEMICAL NEUROSCIENCE" "B2" "19487193"
"17" "2345-6817" "ACTA ADVANCES IN AGRICULTURAL SCIENCES" "C" "23456817"
"18" "0120-2812" "ACTA AGRONOMICA" "B5" "01202812"
"19" "0139-3006" "ACTA ALIMENTARIA (PRINT)" "B4" "01393006"
"20" "0044-5967" "ACTA AMAZONICA" "B2" "00445967"
"21" "1809-4392" "ACTA AMAZONICA" "B2" "18094392"
"22" "0044-5967" "ACTA AMAZONICA (IMPRESSO)" "B2" "00445967"
"23" "1677-7298" "ACTA AMBIENTAL CATARINENSE" "C" "16777298"
"24" "2358-3363" "ACTA BIOLÓGICA CATARINENSE" "C" "23583363"
"25" "0120-548X" "ACTA BIOLOGICA COLOMBIANA" "B4" "0120548X"
"26" "0236-5383" "ACTA BIOLOGICA HUNGARICA (PRINT)" "B3" "02365383"
"27" "0301-2123" "ACTA BIOLÓGICA PARANAENSE" "C" "03012123"
"28" "1742-7061" "ACTA BIOMATERIALIA" "A2" "17427061"
