"titulo" "estrato.antigo" "qIF" "estrato.novo" "pontos"
"1" "Advanced Synthesis and Catalysis" "A1" 94 "A1" 100
"2" "Advances in Water Resources" "A1" 93 "A1" 100
"3" "Agricultural and Forest Meteorology" "A1" 98 "A1" 100
"4" "Agriculture, Ecosystems and Environment" "A1" 99 "A1" 100
"5" "American Journal of Botany" "A1" 84 "A2" 100
"6" "American Naturalist" "A1" 90 "A1" 100
"7" "Analytica Chimica Acta" "A1" 94 "A1" 100
"8" "Analytical Chemistry" "A1" 95 "A1" 100
"9" "Animal Behaviour" "A1" 94 "A1" 100
"10" "Animal Conservation" "A1" 78 "A2" 100
"11" "Annals of Botany" "A1" 94 "A1" 100
"12" "Annual Review of Ecology, Evolution, and Systematics" "A1" 99 "A1" 100
"13" "Annual Review of Entomology" "A1" 99 "A1" 100
"14" "Annual Review of Phytopathology" "A1" 99 "A1" 100
"15" "Aquaculture" "A1" 92 "A1" 100
"16" "Aquatic Toxicology" "A1" 96 "A1" 100
"17" "Atmospheric Chemistry and Physics" "A1" 96 "A1" 100
"18" "Behavioral Ecology" "A1" 95 "A1" 100
"19" "Behavioral Ecology and Sociobiology" "A1" 87 "A2" 100
"20" "Biodiversity and Conservation" "A1" 86 "A2" 100
"21" "Biological Conservation" "A1" 95 "A1" 100
"22" "Biological Invasions" "A1" 86 "A2" 100
"23" "Biological Journal of the Linnean Society" "A1" 78 "A2" 100
"24" "Biological Reviews" "A1" 99 "A1" 100
"25" "Bioresource Technology" "A1" 97 "A1" 100
"26" "BioScience" "A1" 94 "A1" 100
"27" "Biosensors and Bioelectronics" "A1" 98 "A1" 100
"28" "Blood" "A1" 97 "A1" 100
"29" "BMC Plant Biology" "A1" 92 "A1" 100
"30" "Bulletin of the American Museum of Natural History" "A1" 77 "A2" 100
"31" "Canadian Journal of Fisheries and Aquatic Sciences" "A1" 82 "A2" 100
"32" "Chemical Engineering Journal" "A1" 98 "A1" 100
"33" "Chemistry - A European Journal" "A1" 92 "A1" 100
"34" "Climate Dynamics" "A1" 86 "A2" 100
"35" "Clinical Infectious Diseases" "A1" 95 "A1" 100
"36" "Conservation Biology" "A1" 97 "A1" 100
"37" "Conservation Letters" "A1" 98 "A1" 100
"38" "Current Biology" "A1" 97 "A1" 100
"39" "Current Opinion in Plant Biology" "A1" 99 "A1" 100
"40" "Deep-Sea Research Part I: Oceanographic Research Papers" "A1" 88 "A1" 100
"41" "Deep-Sea Research Part II: Topical Studies in Oceanography" "A1" 80 "A2" 100
"42" "Diversity and Distributions" "A1" 94 "A1" 100
"43" "Earth-Science Reviews" "A1" 98 "A1" 100
"44" "Ecography" "A1" 96 "A1" 100
"45" "Ecological Applications" "A1" 91 "A1" 100
"46" "Ecological Economics" "A1" 95 "A1" 100
"47" "Ecological Modelling" "A1" 75 "A3" 100
"48" "Ecological Monographs" "A1" 98 "A1" 100
"49" "Ecology" "A1" 91 "A1" 100
"50" "Ecology Letters" "A1" 98 "A1" 100
"51" "Ecosystem Services" "A1" 99 "A1" 100
"52" "Ecosystems" "A1" 93 "A1" 100
"53" "Emerging Infectious Diseases" "A1" 92 "A1" 100
"54" "Environmental and Experimental Botany" "A1" 96 "A1" 100
"55" "Environmental International" "A1" 98 "A1" 100
"56" "Environmental Microbiology" "A1" 94 "A1" 100
"57" "Environmental Pollution" "A1" 95 "A1" 100
"58" "Environmental Science & Technology" "A1" 93 "A1" 100
"59" "Estuarine, Coastal and Shelf Science" "A1" 87 "A2" 100
"60" "Evolution; international journal of organic evolution" "A1" 91 "A1" 100
"61" "FASEB Journal" "A1" 85 "A2" 100
"62" "Fertility and Sterility" "A1" 98 "A1" 100
"63" "Field Crops Research" "A1" 96 "A1" 100
"64" "Fish and Fisheries" "A1" 99 "A1" 100
"65" "Forest Ecology and Management" "A1" 92 "A1" 100
"66" "Freshwater Biology" "A1" 94 "A1" 100
"67" "Frontiers in Ecology and the Environment" "A1" 95 "A1" 100
"68" "Frontiers in Plant Science" "A1" 95 "A1" 100
"69" "Frontiers in Zoology" "A1" 98 "A1" 100
"70" "Functional Ecology" "A1" 96 "A1" 100
"71" "Fungal Diversity" "A1" 99 "A1" 100
"72" "GCB Bioenergy" "A1" 99 "A1" 100
"73" "Genome Biology" "A1" 99 "A1" 100
"74" "Genome Research" "A1" 98 "A1" 100
"75" "Geophysical Research Letters" "A1" 96 "A1" 100
"76" "Global Biogeochemical Cycles" "A1" 95 "A1" 100
"77" "Global Change Biology" "A1" 98 "A1" 100
"78" "Global Ecology and Biogeography" "A1" 97 "A1" 100
"79" "Global Environmental Change" "A1" 99 "A1" 100
"80" "Hepatology" "A1" 95 "A1" 100
"81" "Heredity" "A1" 76 "A2" 100
"82" "Hydrobiologia" "A1" 77 "A2" 100
"83" "Hystrix" "A1" 81 "A2" 100
"84" "Insect Biochemistry and Molecular Biology" "A1" 96 "A1" 100
"85" "Insect Molecular Biology" "A1" 91 "A1" 100
"86" "Insect Science" "A1" 81 "A2" 100
"87" "Integrative and Comparative Biology" "A1" 94 "A1" 100
"88" "International Journal for Parasitology" "A1" 87 "A2" 100
"89" "ISME Journal" "A1" 98 "A1" 100
"90" "Journal of Agricultural and Food Chemistry" "A1" 94 "A1" 100
"91" "Journal of Animal Ecology" "A1" 99 "A1" 100
"92" "Journal of Applied Ecology" "A1" 96 "A1" 100
"93" "Journal of Avian Biology" "A1" 90 "A1" 100
"94" "Journal of Biogeography" "A1" 91 "A1" 100
"95" "Journal of Comparative Neurology" "A1" 59 "A4" 100
