"titulo" "P.ISSN" "E.ISSN" "qIF"
"1" "Advances in Physics: X" "" "" 92
"2" "Advancing Microelectronics" "" "" 3
"3" "Annual Review of Organizational Psychology and Organizational Behavior" "" "" 99
"4" "Annual Technical Conference - ANTEC, Conference Proceedings" "" "" 13
"5" "Archiv fÃ¼r Kultur-geschichte" "" "" 12
"6" "Asia Pacific Disability Rehabilitation Journal" "" "" 46
"7" "Brill's Indological Library" "" "" 5
"8" "Civil-Comp Proceedings" "" "" 5
"9" "Clinical privilege white paper" "" "" 1
"10" "Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC" "" "" 62
"11" "Conference Record of the Annual ACM Symposium on Principles of Programming Languages" "" "" 74
"12" "Congress on Computing in Civil Engineering, Proceedings" "" "" 33
"13" "Foundations and Trends in Systems and Control" "" "" 98
"14" "Handbook of Oriental Studies. Section 3, Southeast Asia" "" "" 6
"15" "IEEE International Conference on Microelectronic Test Structures" "" "" 23
"16" "IEEE Symposium on VLSI Circuits, Digest of Technical Papers" "" "" 65
"17" "IEEE Transactions on Transportation Electrification" "" "" 97
"18" "ImmunoTargets and Therapy" "" "" 95
"19" "International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS" "" "" 88
"20" "International Conference on Nuclear Engineering, Proceedings, ICONE" "" "" 12
"21" "International Geoscience and Remote Sensing Symposium (IGARSS)" "" "" 37
"22" "International SAMPE Technical Conference" "" "" 16
"23" "Journal of Clinical Medicine" "" "" 97
"24" "LIA Today" "" "" 1
"25" "Open Linguistics" "" "" 73
"26" "Proceedings - Annual SAFE Symposium (Survival and Flight Equipment Association)" "" "" 2
"27" "Proceedings - IEEE Military Communications Conference" "" "" 38
"28" "Proceedings - International Conference on Data Engineering" "" "" 67
"29" "Proceedings - Real-Time Systems Symposium" "" "" 60
"30" "Proceedings - SPE Annual Technical Conference and Exhibition" "" "" 39
"31" "Proceedings - SPE International Symposium on Formation Damage Control" "" "" 41
"32" "Proceedings - SPE Symposium on Improved Oil Recovery" "" "" 71
"33" "Proceedings - Symposium on Computer Arithmetic" "" "" 22
"34" "Proceedings of International Conference of the Learning Sciences, ICLS" "" "" 25
"35" "Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems" "" "" 78
"36" "Proceedings of the ACM SIGMOD International Conference on Management of Data" "" "" 87
"37" "Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI)" "" "" 77
"38" "Proceedings of the Annual ACM Symposium on Principles of Distributed Computing" "" "" 61
"39" "Proceedings of the Annual ACM Symposium on Theory of Computing" "" "" 89
"40" "Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms" "" "" 96
"41" "Proceedings of the IEEE Bipolar/BiCMOS Circuits and Technology Meeting" "" "" 48
"42" "Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition" "" "" 99
"43" "Proceedings of the IEEE International Conference on Computer Vision" "" "" 98
"44" "Proceedings of the IEEE International Conference on Industrial Technology" "" "" 46
"45" "Proceedings of the IEEE International Conference on Properties and Applications of Dielectric Materials" "" "" 29
"46" "Proceedings of the IEEE VLSI Test Symposium" "" "" 34
"47" "Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE" "" "" 38
"48" "Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS" "" "" 26
"49" "Proceedings of the International Joint Conference on Neural Networks" "" "" 41
"50" "Science immunology" "" "" 95
"51" "SPE International Oilfield Chemistry Symposium Proceedings" "" "" 47
"52" "Unitex" "" "" 3
"53" "Working Paper of the Helen Kellogg Institute for International Studies" "" "" 9
"54" "Communications of the ACM" "00010782" "" 78
"55" "AORN Journal" "00012092" "" 43
"56" "Archiv fur Rechts- und Sozialphilosophie" "00012343" "" 18
"57" "ASHRAE Transactions" "00012505" "" 43
"58" "Planning" "00012610" "" 2
"59" "Seminars in Nuclear Medicine" "00012998" "" 88
"60" "Abacus" "00013072" "" 81
"61" "Bulletin de l'Academie Nationale de Medecine" "00014079" "" 12
"62" "Bulletin de l'Academie Veterinaire de France" "00014192" "" 4
"63" "Academy of Management Journal" "00014273" "" 99
"64" "Izvestiya - Atmospheric and Oceanic Physics" "00014338" "" 35
"65" "Oceanology" "00014370" "" 40
"66" "Accident Analysis and Prevention" "00014575" "" 97
"67" "Accounting and Business Research" "00014788" "" 79
"68" "Accounting Review" "00014826" "" 96
"69" "Acta Anaesthesiologica Belgica" "00015164" "" 26
"70" "Acta Arachnologica" "00015202" "" 16
"71" "Acta Astronomica" "00015237" "" 73
"72" "Acta Cardiologica" "00015385" "" 30
"73" "Acta Chirurgica Belgica" "00015458" "" 29
"74" "Acta Cytologica" "00015547" "" 58
"75" "Acta Gastro-Enterologica Belgica" "00015644" "" 22
"76" "Acta Geologica Polonica" "00015709" "" 57
"77" "Acta Geologica Sinica" "00015717" "" 44
"78" "Acta Geophysica Sinica" "00015733" "" 41
"79" "Acta Mathematica" "00015962" "" 96
"80" "Acta Medica Philippina" "00016071" "" 12
"81" "Acta Musicologica" "00016241" "" 58
"82" "Acta Ornithologica" "00016454" "" 72
"83" "Acta Orthopaedica Belgica" "00016462" "" 30
"84" "Acta Oto-Laryngologica" "00016489" "" 52
"85" "Acta Otorrinolaringologica Espanola" "00016519" "" 30
"86" "Acta Pediatrica Espanola" "00016640" "" 16
"87" "Acta Politica" "00016810" "" 78
"88" "Acta Poloniae Historica" "00016829" "" 32
"89" "Acta Poloniae Pharmaceutica" "00016837" "" 38
"90" "Acta Psychologica" "00016918" "" 74
"91" "Acta Scientiarum Mathematicarum" "00016969" "" 22
"92" "Acta Societatis Botanicorum Poloniae" "00016977" "" 46
"93" "Acta Stomatologica Croatica" "00017019" "" 33
"94" "Acta Tropica" "0001706X" "" 75
"95" "Acta Virologica" "0001723X" "" 24
"96" "Aktuelle Urologie" "00017868" "" 8
"97" "Administrative Science Quarterly" "00018392" "" 99
"98" "Advances in Colloid and Interface Science" "00018686" "" 95
"99" "Aeronautical Journal" "00019240" "" 54
"100" "Afinidad" "00019704" "" 14
"101" "Africa" "00019720" "" 67
"102" "African Studies Review" "00020206" "" 90
"103" "Africa Spectrum" "00020397" "" 87
"104" "Afrique Contemporaine" "00020478" "" 24
"105" "Agricultural History" "00021482" "" 56
"106" "Agricultural History Review" "00021490" "" 45
"107" "Agrochimica" "00021857" "" 40
"108" "Akzente" "00023957" "" 7
"109" "Alauda" "00024619" "" 7
"110" "Alberta Journal of Educational Research" "00024805" "" 17
"111" "Aldrichimica Acta" "00025100" "" 40
"112" "Revista Alergia Mexico" "00025151" "" 11
"113" "Algebra and Logic" "00025232" "" 20
"114" "Allgemeine Forst- und Jagdzeitung" "00025852" "" 16
"115" "Allgemeine Vermessungs-Nachrichten" "00025968" "" 24
"116" "Ambix" "00026980" "" 56
"117" "Ameghiniana" "00027014" "" 54
"118" "Annals of the American Academy of Political and Social Science" "00027162" "" 94
"119" "Journal of the American Academy of Religion" "00027189" "" 91
"120" "American Antiquity" "00027316" "" 99
"121" "American Bee Journal" "00027626" "" 1
"122" "American Behavioral Scientist" "00027642" "" 98
"123" "American Biology Teacher" "00027685" "" 21
"124" "American Business Law Journal" "00027766" "" 39
"125" "Bulletin of the American Ceramic Society" "00027812" "" 36
"126" "Journal of the American Ceramic Society" "00027820" "" 84
"127" "Journal of the American Dental Association" "00028177" "" 47
"128" "American Economic Review" "00028282" "" 96
"129" "American Educational Research Journal" "00028312" "" 97
"130" "Transactions of the American Entomological Society" "00028320" "" 11
"131" "American Fern Journal" "00028444" "" 54
"132" "American Forests" "00028541" "" 2
"133" "Journal of the American Geriatrics Society" "00028614" "" 72
"134" "Journal of the American Helicopter Society" "00028711" "" 65
"135" "American Heritage" "00028738" "" 5
"136" "American Historical Review" "00028762" "" 95
"137" "American Journal of Agricultural Economics" "00029092" "" 87
"138" "American Journal of Archaeology" "00029114" "" 83
"139" "American Journal of Cardiology" "00029149" "" 83
"140" "American Journal of Clinical Hypnosis" "00029157" "" 59
"141" "American Journal of Clinical Nutrition" "00029165" "" 95
"142" "American Journal of Clinical Pathology" "00029173" "" 73
"143" "American Journal of Comparative Law" "0002919X" "" 57
"144" "American Journal of Enology and Viticulture" "00029254" "" 82
"145" "American Journal of International Law" "00029300" "" 79
"146" "American Journal of Legal History" "00029319" "" 87
"147" "American Journal of Medicine" "00029343" "" 91
"148" "American Journal of Nursing" "0002936X" "" 27
"149" "American Journal of Ophthalmology" "00029394" "" 94
"150" "American Journal of Orthopsychiatry" "00029432" "" 85
"151" "American Journal of Philology" "00029475" "" 80
"152" "American Journal of Physics" "00029505" "" 42
"153" "American Journal of Psychiatry" "0002953X" "" 97
"154" "American Journal of Psychology" "00029556" "" 55
"155" "American Journal of Psychotherapy" "00029564" "" 59
"156" "American Journal of Science" "00029599" "" 89
"157" "American Journal of Surgery" "00029610" "" 84
"158" "American Journal of the Medical Sciences" "00029629" "" 82
"159" "American Journal of Tropical Medicine and Hygiene" "00029637" "" 62
"160" "American Journal of Veterinary Research" "00029645" "" 71
"161" "Journal of the American Leather Chemists Association" "00029726" "" 30
"162" "American literature; a journal of literary history, criticism and bibliography" "00029831" "" 86
"163" "American Mathematical Monthly" "00029890" "" 20
"164" "American Midland Naturalist" "00030031" "" 31
"165" "American Mineralogist" "0003004X" "" 73
"166" "American Museum Novitates" "00030082" "" 97
"167" "Journal of the American Musicological Society" "00030139" "" 75
"168" "JAOCS, Journal of the American Oil Chemists' Society" "0003021X" "" 64
"169" "Journal of the American Oriental Society" "00030279" "" 85
"170" "American Philosophical Quarterly" "00030481" "" 80
"171" "Pharmacy Times" "00030627" "" 2
"172" "Journal of the American Psychoanalytic Association" "00030651" "" 30
"173" "American Psychologist" "0003066X" "" 93
"174" "American Scholar" "00030937" "" 27
"175" "Journal of the American Society for Horticultural Science" "00031062" "" 69
"176" "American Sociological Review" "00031224" "" 99
"177" "The American Sociologist" "00031232" "" 55
"178" "American Surgeon" "00031348" "" 35
"179" "The American University law review" "00031453" "" 79
"180" "Journal of the American Veterinary Medical Association" "00031488" "" 47
"181" "Journal - American Water Works Association" "0003150X" "" 30
"182" "Analise Social" "00032573" "" 20
"183" "Analytica Chimica Acta" "00032670" "" 94
"184" "Journal of the Anatomical Society of India" "00032778" "" 9
"185" "Anesthesia Progress" "00033006" "" 41
"186" "Angiologia" "00033170" "" 5
"187" "Angiology" "00033197" "" 57
"188" "Angle Orthodontist" "00033219" "" 86
"189" "Annales Botanici Fennici" "00033847" "" 37
"190" "Annales de Biologie Clinique" "00033898" "" 16
"191" "Annales de Bourgogne" "00033901" "" 5
"192" "Annales de Cardiologie et d'Angeiologie" "00033928" "" 13
"193" "Annales de Geographie" "00034010" "" 25
"194" "Annales de Limnologie" "00034088" "" 38
"195" "Annales d'Endocrinologie" "00034266" "" 31
"196" "Annales des Telecommunications/Annals of Telecommunications" "00034347" "" 65
"197" "Annales Historiques de la Revolution Francaise" "00034436" "" 27
"198" "Annales Medico-Psychologiques" "00034487" "" 19
"199" "Annales Pharmaceutiques Francaises" "00034509" "" 42
"200" "Annales Zoologici" "00034541" "" 34
"201" "Annales Zoologici Fennici" "0003455X" "" 57
"202" "Annali Italiani di Chirurgia" "0003469X" "" 24
"203" "Annals of Applied Biology" "00034746" "" 75
"204" "Annals of Mathematics" "0003486X" "" 97
"205" "Annals of Otology, Rhinology and Laryngology" "00034894" "" 68
"206" "Annals of Thoracic Surgery" "00034975" "" 76
"207" "Annee Psychologique" "00035033" "" 33
"208" "Anthropologica" "00035459" "" 45
"209" "Anthropological Linguistics" "00035483" "" 69
"210" "Anthropologie" "00035521" "" 58
"211" "Anthropologischer Anzeiger" "00035548" "" 68
"212" "Anti-Corrosion Methods and Materials" "00035599" "" 36
"213" "Antigonish Review" "00035661" "" 7
"214" "Antike Kunst" "00035688" "" 89
"215" "The Antioch Review" "00035769" "" 16
